Array Size,MeanOperations,MeanRuntime
450,26441,0.00161464
460,31592,0.00268087
470,37388,0.00476195
480,35795,0.00233305
490,35002,0.00357489
500,38457,0.00173787
510,38546,0.00219599
520,33875,0.00371435
530,39309,0.00282833
540,35924,0.00401713
550,45962,0.00242277
560,45318,0.00401617
570,47261,0.00251279
580,51015,0.0030395
590,41200,0.00214667
600,59923,0.00248775
610,57471,0.00165075
620,48659,0.00349009
630,57971,0.00479229
640,44116,0.00368253
650,64718,0.0029766
660,54558,0.00558424
670,52837,0.00221182
680,60145,0.00412135
690,65654,0.00462521
700,59470,0.00360662
710,68028,0.0036112
720,57512,0.00492401
730,53989,0.00311837
740,76368,0.00311468
750,63148,0.00374486
760,67285,0.00373018
770,57736,0.00257642
780,55184,0.00340072
790,68035,0.00286941
800,76208,0.0033603
810,59768,0.00398716
820,62530,0.00386444
830,63758,0.0024502
840,79302,0.00418463
850,62435,0.00590263
860,77756,0.0041208
870,73760,0.00396999
880,77211,0.00552462
890,79574,0.00427083
900,79975,0.0021849
910,76865,0.0035491
920,78877,0.00378315
930,96857,0.00460413
940,71645,0.00387487
950,80285,0.00301785
960,78112,0.00393468
970,83779,0.0043235
980,100494,0.00755561
Array Size,MeanOperations,MeanRuntime
10,13526774,nan
20,266,0.00085137
30,647,0.00018627
40,970,0.00125398
50,1556,0.00022633
60,1948,0.00023135
70,3490,0.00170275
80,4092,0.00025637
90,4576,0.00128938
100,6205,0.00074518
110,5480,0.00107265
120,7152,0.0014303
130,8877,0.00110282
140,8316,0.00071012
150,11112,0.00086643
160,12690,0.00122927
170,10799,0.00119902
180,16331,0.00166844
190,15953,0.00163149
200,16003,0.00191911
210,17068,0.00069617
220,17853,0.00141024
230,18379,0.00162107
240,22053,0.00177275
250,23917,0.00168269
260,24341,0.00166805
270,23767,0.00152376
280,27108,0.00166762
290,23790,0.00152135
300,32962,0.00201527
310,29275,0.00169262
320,31610,0.0018239
330,32627,0.00204515
340,33692,0.00252585
350,39499,0.00127889
360,40667,0.00340955
370,39067,0.00158107
380,50063,0.00196349
390,49805,0.00291918
400,48315,0.00228613
410,40764,0.00372399
420,44631,0.0026042
430,43124,0.00242819
440,45279,0.00172773
450,50821,0.00300295
460,57871,0.00251655
470,61352,0.00208471
480,56852,0.00224205
490,60199,0.00293229
500,53343,0.00232727
510,58059,0.0022416
520,53014,0.00238886
530,66693,0.0036104
540,64031,0.00349883
550,59782,0.00282793
560,68284,0.00296739
570,65830,0.00255911
580,63862,0.00382389
590,81080,0.00483315
600,69425,0.00286085
610,77371,0.00291333
620,73255,0.00291679
630,74205,0.00301291
640,73028,0.00355787
650,80499,0.00216164
660,69393,0.00331052
670,78810,0.00426782
680,87929,0.00269175
690,91527,0.00357684
700,76588,0.00320331
710,68679,0.00214172
720,95999,0.00403268
730,85662,0.00325635
740,94488,0.00317419
750,109730,0.00423197
760,101824,0.00349455
770,110324,0.00395334
780,103645,0.00354793
790,96941,0.00339531
800,99386,0.00410283
810,101453,0.00339183
820,128849,0.00387835
830,92459,0.00325525
840,116182,0.00391712
850,106837,0.0042788
860,126728,0.0029631
870,130745,0.00408571
880,102806,0.00382781
890,125527,0.00520461
900,94829,0.00369735
910,106772,0.00403839
920,104913,0.00463039
930,136211,0.00384956
940,117231,0.00323707
950,133686,0.00413281
960,132469,0.00466967
970,114989,0.00566629
980,145561,0.00474398
990,145326,0.00357875
1000,152115,0.004716
